Resumo,Data,Descrição
Último dia para preenchimento de vagas remanescentes,09/06/2024,"Último dia para que, se a convenção não tiver indicado o número máximo de candidaturas para o cargo de vereador, os órgãos de direção dos partidos políticos e das federações preencham as vagas remanescentes, observando os percentuais mínimo e máximo para candidaturas de cada gênero (Lei nº 9.504/1997, art. 10, § 5º; e Res.-TSE nº 23.609/2019, art. 17, § 7º)."
Último dia para comunicação de nomes de escrutinadores,09/06/2024,"Último dia para que a(o) presidente da junta eleitoral comunique à(ao) presidente do tribunal regional eleitoral os nomes de escrutinadoras, escrutinadores e auxiliares que houver designado e publique o respectivo edital, contando-se da publicação o prazo de 3 (três) dias para que o partido político, a federação ou a coligação apresente impugnação (Código Eleitoral, art. 39)."
Último dia para instalação da Comissão Especial de Transporte,09/06/2024,"Último dia para o juízo eleitoral instalar Comissão Especial de Transporte (Lei nº 6.091/1974, art. 14; e Res.-TSE nº 9.641/1974, art. 13)."
Último dia para planejamento de transporte de eleitores,09/06/2024,"Último dia para o planejamento, pela juíza ou pelo juiz eleitoral, da execução do serviço de transporte de eleitoras e eleitores e para a requisição dos veículos e embarcações necessários aos órgãos ou unidades do serviço público, relativamente ao primeiro e eventual segundo turnos de votação (Lei nº 6.091/1974, art. 3º, § 2º)."
Convocação de entidades fiscalizadoras,09/06/2024,"Observada a data da Cerimônia de Assinatura Digital e Lacração dos Sistemas, último dia para o Tribunal Superior Eleitoral convocar as entidades fiscalizadoras para o evento, solicitando manifestação de interesse em assinar digitalmente os programas (Res.-TSE nº 23.673/2021, art. 19, parágrafo único)."
Envio de prestação parcial de contas,09/09/2024,"Data a partir da qual e até 13 de setembro de 2024, os partidos políticos, as candidatas e os candidatos deverão enviar à Justiça Eleitoral, pelo Sistema de Prestação de Contas Eleitorais (SPCE), a prestação parcial de contas, dela constando o registro da movimentação financeira e/ou estimável em dinheiro ocorrida desde o início da campanha até 8 de setembro de 2024, para cumprimento do disposto no inciso II do § 4º do art. 28 da Lei nº 9.504 de 1997."
Último dia para apresentação de certificado digital,09/11/2024,"Observada a data marcada para a Cerimônia de Assinatura Digital e Lacração dos Sistemas, último dia para que as entidades fiscalizadoras que demonstrarem interesse em assinar digitalmente os sistemas eleitorais com seus próprios programas de verificação informarem à Secretaria de Tecnologia da Informação do TSE e apresentarem o certificado digital com o qual assinarão os programas (Res.-TSE nº 23.673/2021, art. 22, § 1º)."
Último dia para envio de prestação parcial de contas,09/13/2024,"Último dia para que os partidos políticos, as candidatas e os candidatos enviem à Justiça Eleitoral, pelo Sistema de Prestação de Contas Eleitorais (SPCE), a prestação parcial de contas, dela constando o registro da movimentação financeira e/ou estimável em dinheiro ocorrida desde o início da campanha até 8 de setembro de 2024, para cumprimento do disposto no inciso II do § 4º do art. 28 da Lei nº 9.504 de 1997, art. 47, § 4º)."
 Último dia para comunicação de anulações de deliberações,09/14/2024,"Último dia para os partidos políticos, as federações e as coligações comunicarem à Justiça Eleitoral anulações de deliberações dos atos decorrentes de convenção partidária, observado, quanto à escolha de novas(os) candidatas(os), a necessidade de o pedido de registro ser apresentado à Justiça Eleitoral nos 10 (dez) dias seguintes à deliberação (Lei nº 9.504/1997, art. 7º, §§ 3º e 4º; e Res.-TSE nº 23.609/2019, art. 8º, § 1º)."
Divulgação de prestação parcial de contas,09/15/2024,"Data em que será divulgada, na internet, a prestação parcial de contas da campanha das candidatas, dos candidatos e dos partidos políticos com a indicação dos nomes, do CPF ou CNPJ das(os) doadoras(es) e dos respectivos valores doados, observadas as diretrizes para tratamento de dados pessoais da Lei nº 13.709 de 2018 e da Resolução-TSE nº 23.650 de 2021 (Lei nº 9.504/1997, art. 28, § 4º, II; e Res.-TSE nº 23.607/2019, art. 47, § 5º)."
Último dia para julgamento de pedidos de registro de candidaturas,09/16/2024,"Data em que todos os pedidos de registro de candidaturas aos cargos de prefeito, vice-prefeito e vereador, inclusive os impugnados e os respectivos recursos, devem estar julgados pelas instâncias ordinárias e publicadas as decisões (Lei nº 9.504/1997, art. 16, § 1º; e Res.-TSE nº 23.609/2019, art. 54)."
Último dia para substituição de candidatos,09/16/2024,"Último dia para o pedido de substituição de candidatas ou de candidatos para os cargos majoritários e proporcionais, exceto se a substituição decorrer de falecimento, caso em que poderá ser efetivado após esta data, observado, em qualquer situação, o prazo de até 10 (dez) dias contados do fato, inclusive anulação de convenção, ou da decisão judicial que deu origem à substituição (Lei nº 9.504/1997, arts. 7º, § 4º, e 13, §§ 1º e 3º; e Res.-TSE nº 23.609/2019, art. 72 § 3º)."
Último dia para expedição de ofício sobre auditorias,09/16/2024,"Último dia para a Comissão de Auditoria da Votação Eletrônica expedir ofício aos partidos políticos para informar o horário e o local onde será realizada a escolha ou o sorteio das seções cujas urnas serão auditadas no primeiro turno (Res.-TSE nº 23.673/2021, art. 54, § 2º)."
Último dia para divulgação de locais de auditorias,09/16/2024,"Último dia para os tribunais regionais eleitorais informarem, em edital e mediante divulgação nos respectivos sítios eletrônicos na internet, os locais onde serão realizadas as auditorias de funcionamento das urnas (Res.- TSE nº 23.673/2021, art. 54, § 1º)."
Lacração dos sistemas eleitorais,09/16/2024,"Data-limite para que os sistemas eleitorais e os programas de verificação desenvolvidos pelas entidades fiscalizadoras sejam lacrados, mediante apresentação, compilação, assinatura digital e guarda das mídias pelo Tribunal Superior Eleitoral em Cerimônia de Assinatura Digital e Lacração dos Sistemas, contando-se do encerramento da cerimônia o prazo de 5 (cinco) dias para as entidades fiscalizadoras impugnarem os programas a serem utilizados nas eleições de 2024 (Lei nº 9.504/1997, art. 66, §§ 2º e 3º; e 23.673/2021, arts. 19 e 33)."
Proibição de detenção ou prisão de candidatos,09/21/2024,"Data a partir da qual e até 8 de outubro, nenhuma candidata ou candidato poderá ser detida(o) ou presa(o), salvo em flagrante delito (Código Eleitoral, art. 236, § 1º)."
Requisitação de servidores e instalações para transporte,09/21/2024,"Data-limite para a juíza ou o juiz eleitoral requisitar servidoras, servidores e as instalações de órgãos da Administração Pública direta ou indireta da União, dos Estados e dos Municípios para possibilitar a execução dos serviços de transporte para o primeiro e eventual segundo turno de votação (Lei nº 6.091/1974, art. 1º, § 2º)."
Divulgação de quadro geral de percursos e horários,09/21/2024,"Data em que deverá ser divulgado o quadro geral de percursos e horários programados para o transporte de eleitoras e de eleitores para o primeiro e eventual segundo turnos de votação, contando-se da divulgação o prazo de 3 (três) dias para que os partidos políticos, as federações, as candidatas, os candidatos, as eleitoras e os eleitores apresentem reclamação (Lei nº 6.091/1974, art. 4º)."
Ações para esclarecimento da população,09/26/2024,"Data a partir da qual os tribunais regionais eleitorais realizarão ações para esclarecer a população sobre o que é necessário para votar, vedada a contratação de terceiros para prestação desse serviço."
Definição de locais para Testes de Integridade com Biometria,09/26/2024,"Data-limite para a definição, pela Comissão de Auditoria da Votação Eletrônica, dos locais onde serão realizados os Testes de Integridade com Biometria, para o primeiro turno (Res.-TSE nº 23.673/2021, art. 53-C, I, c)."
Último dia para registro de pesquisas eleitorais,09/30/2024,"Último dia para o registro, no Sistema de Registro de Pesquisas Eleitorais (PesqEle), das pesquisas de opinião pública realizadas em data anterior ao dia das eleições, para conhecimento público, relativas ao pleito ou às(aos) candidatas(os), que se pretenda divulgar no day das eleições, no horário legalmente permitido (Res.-TSE nº 23.600/2019, art. 11)."
Proibição de detenção ou prisão de eleitores,10/01/2024,"Data a partir da qual e até 8 de outubro nenhuma eleitora ou eleitor poderá ser presa(o) ou detida(o), salvo em flagrante delito, ou em virtude de sentença criminal condenatória por crime inafiançável, ou por desrespeito a salvo-conduto (Código Eleitoral, art. 236, caput)."
Último dia para designação de horário e local para verificação de sistemas,10/01/2024,"Último dia para a juíza ou o juiz eleitoral designar horário e local para a verificação da integridade e autenticidade dos sistemas Transportador e JE-Connect instalados nos microcomputadores, no primeiro turno (Res.-TSE nº 23.673/2021, art. 43, §1º)."
Término da propaganda eleitoral gratuita no rádio e na TV,10/03/2024,"Último dia para a divulgação da propaganda eleitoral gratuita no rádio e na televisão relativa ao primeiro turno (Lei nº 9.504/1997, art. 47, caput; Código Eleitoral, art. 240, parágrafo único; e Res.-TSE nº 23.610/2019, art. 49)."
Término de comícios e uso de sonorização fixa,10/03/2024,"Último dia para a realização de comícios e utilização de aparelhagem de sonorização fixa, entre as 8h (oito horas) e as 24h (vinte e quatro horas), com exceção do comício de encerramento da campanha, que poderá ser prorrogado por mais 2 (duas) horas (Código Eleitoral, art. 240, parágrafo único; Lei nº 9.504/1997, art. 39, § 4º; e Res.-TSE nº 23.610/2019, arts. 5º)."
Término de debates no rádio e na TV,10/03/2024,"Último dia para a realização de debate no rádio e na televisão, admitida sua extensão até as 7h (sete horas) do dia 4 de outubro (Res.-TSE nº 23.610/2019 art. 46, IV)."
Expedição de salvo-conduto,10/03/2024,"Data a partir da qual e até 7 de outubro, o juízo eleitoral ou a(o) presidente da Mesa Receptora poderá expedir salvo-conduto em favor de eleitora ou de eleitor que sofrer violência moral ou física na sua liberdade de votar ou pelo fato de haver votado (Código Eleitoral, art. 235)."
Divulgação de comunicados e boletins ao eleitorado,10/03/2024,"Data a partir da qual e até 5 de outubro de 2024, o Tribunal Superior Eleitoral poderá divulgar comunicados, boletins e instruções ao eleitorado, em até 10 (dez) minutos diários requisitados às emissoras de rádio e de televisão, contínuos ou não, que poderão ser somados e usados em dias descontinuados, podendo ceder, a seu critério, parte desse tempo para utilização por tribunal regional eleitoral (Lei nº 9.504/1997, art. 93; e Res.-TSE nº 23.610/2019, art. 115)."
Divulgação de pontos de transmissão de dados,10/03/2024,"Último dia para os tribunais regionais eleitorais divulgarem na internet os pontos de transmissão de dados que funcionarão em locais distintos do local de funcionamento da junta eleitoral, para o primeiro turno."
Término de circulação paga ou impulsionada de propaganda eleitoral na internet,10/03/2024,"Último dia para a circulação paga ou impulsionada de propaganda eleitoral na internet, mesmo se a contratação tiver sido realizada antes desse prazo, cabendo ao provedor de aplicação, que comercializa o impulsionamento, realizar o desligamento da veiculação de propaganda eleitoral (Res.-TSE nº 23.610/2019, art. 29, § 11)."
Término de divulgação paga na imprensa escrita,10/04/2024,"Último dia para divulgação paga, na imprensa escrita, e reprodução, na internet, de jornal impresso, de até 10 (dez) anúncios de propaganda eleitoral, por veículo, em datas diversas, para cada candidata ou candidato, no espaço máximo, por edição, de 1/8 (um oitavo) de página de jornal padrão e de 1/4 (um quarto) de página de revista ou tabloide (Lei nº 9.504/1997, art. 43, caput; Res.-TSE nº 23.610/2019, art. 42)."
Publicação de edital de convocação de representantes,10/04/2024,"Data-limite para os juízos eleitorais publicarem edital de convocação das(dos) representantes do Ministério Público e da Ordem dos Advogados do Brasil e das(dos) fiscais, delegadas e delegados dos partidos políticos, das federações e das coligações, para acompanharem a emissão da Zerésima do Sistema de Gerenciamento da Totalização relativa ao primeiro turno."
Audiência para verificação de sistemas,10/04/2024,"Data-limite para a audiência destinada à verificação da integridade e autenticidade dos sistemas Transportador e JE-Connect, em computador e em dispositivo para uso no primeiro turno das eleições, a critério do juízo eleitoral, considerando a logística de deslocamento dos equipamentos (Res. TSE nº 23.673/2021, art. 43, caput e § 4º)."
Comunicação de nomes de fiscais e delegados,10/04/2024,"Último dia para a(o) presidente do partido político ou da federação, a(o) representante da coligação ou outra pessoa por elas(e) indicada comunicarem aos juízos eleitorais os nomes das pessoas autorizadas a expedir as credenciais das(os) fiscais e das(os) delegadas(os) habilitadas(os) a fiscalizar os trabalhos de votação, apuração e totalização do primeiro turno das eleições (Lei nº 9.504/1997, art. 65, § 3º)."
Comunicação de nomes de fiscais para seções em estabelecimentos penais,10/04/2024,"Último dia para a(o) presidente do partido político ou da federação, a(o) representante da coligação ou outra pessoa por elas(e) indicada comunicarem aos juízos eleitorais os nomes das pessoas autorizadas a fiscalizar os trabalhos de votação do primeiro turno nas seções eleitorais instaladas nos estabelecimentos penais e de internação de adolescentes (Lei nº 9.504/1997, art. 65, § 3º)."
Restrição de aproximação da força armada,10/04/2024,"Data a partir da qual a força armada não poderá se aproximar do lugar da votação ou nele adentrar sem ordem judicial ou da(o) presidente da Mesa Receptora, exceto nos estabelecimentos penais e nas unidade de internação de adolescentes, respeitado o sigilo do voto, devendo se conservar a 100 m (cem metros) da seção eleitoral."
"Último dia para divulgação paga, na imprensa escrita, e reprodução, na internet, de jornal impresso, de até 10 (dez) anúncios de propaganda eleitoral, por veículo, em datas diversas, para cada candidata ou candidato, no espaço máximo, por edição, de 1/8 (um oitavo) de página de jornal padrão e de 1/4 (um quarto) de página de revista ou tabloide, relativa ao primeiro turno",10/04/2024,"Último dia para a divulgação paga, na imprensa escrita, e a reprodução na internet do jornal impresso, de até 10 (dez) anúncios de propaganda eleitoral, por veículo, em datas diversas, para cada candidata ou candidato, no espaço máximo, por edição, de 1/8 (um oitavo) de página de jornal padrão e de 1/4 (um quarto) de página de revista ou tabloide, relativa ao primeiro turno (Lei nº 9.504/1997, art. 43, caput ; Res.-TSE nº 23.610/2019, art. 42) ; Res.-TSE nº"
Término de uso de alto-falantes e amplificadores de som,10/05/2024,"Data até a qual as candidatas, os candidatos, os partidos, as federações e as coligações poderão fazer funcionar, entre as 8h (oito horas) e as 22h (vinte e duas horas), alto-falantes ou amplificadores de som, nos termos do art. 15 da Res.-TSE nº 23.610 de 2019 (Lei nº 9.504/1997, art. 39, § 3º; e Res.- TSE nº 23.610/2019, art. 15)."
Término de distribuição de material gráfico e caminhadas,10/05/2024,"Último dia para, até as 22h (vinte e duas horas), poder-se promover distribuição de material gráfico e realização de caminhada, carreata ou passeata, acompanhados ou não por carro de som ou minúrio (Lei nº 9.504/1997, art. 39, § 9º; e Res.-TSE nº 23.610/2019, art. 16)."
Escolha ou sorteio de seções para auditoria,10/05/2024,"Data em que a Comissão de Auditoria da Votação Eletrônica deverá promover, entre as 7h (sete horas) e as 12h (doze horas), no local e horário previamente divulgados, a escolha ou o sorteio das seções eleitorais que serão submetidas às auditorias da votação eletrônica no primeiro turno (Res.- TSE nº 23.673/2021, art. 57)."
Publicação de arquivos com correspondências esperadas,10/05/2024,"Último dia para o Tribunal Superior Eleitoral publicar, na sua página da internet, os arquivos com as correspondências esperadas entre uma e seção e os logs do Sistema GEDAI-UE das máquinas utilizadas para geração das mídias relativas ao primeiro turno, devendo eventuais atualizações serem complementadas até as 16 h (dezesseis horas) do dia da eleição, observado o horário de Brasília."
Disponibilização de funcionalidades de totalização,10/05/2024,"Data na qual, a partir das 12h (doze horas), as funcionalidades relativas ao gerenciamento da totalização dos resultados para o primeiro turno estarão disponíveis no SISTOT, em todas as instâncias, pelos procedimentos definidos na “Seção I - Dos Sistemas de Transmissão e Totalização” da Resolução de Atos Gerais do Processo Eleitoral de 2024."
Último dia para providenciar cópia de programa de verificação,10/05/2024,"Último dia para que a entidade fiscalizadora interessada em utilizar programa próprio para verificação da assinatura e do resumo digital
"Data em que se realizará a votação do primeiro turno das eleições, para os cargos de prefeito, vice-prefeito e vereador, por sufrágio universal e voto direto e secreto, observando-se, na seção eleitoral",10/06/2024,"Data em que se realizará a votação do primeiro turno das eleições, para os cargos de prefeito, vice-prefeito e vereador, por sufrágio universal e voto direto e secreto, observando-se, na seção eleitoral (Constituição Federal, arts. 14, caput (http://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm#art14) e 29, I e II (http://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm#art29); Código Eleitoral, art. 82 (http://www.planalto.gov.br/ccivil_03/leis/L4737.htm#arts2); Lei nº 9.504/1997, art. 1º, parágrafo único, II (http://www.planalto.gov.br/ccivil_03/leis/l9504.htm#art1), e art. 3º) ;"
"Data a partir da qual, decorrido o prazo de 24 (vinte e quatro) horas do encerramento da votação, até 26 de outubro, as candidatas, os candidatos, os partidos, as federações e as coligações participantes do segundo turno poderão fazer funcionar, entre as 8h (oito horas) e as 22h (vinte e duas horas), alto-falantes ou amplificadores de som, nos termos do art. 15 da Res.- TSE nº 23.610 de 2019",10/07/2024,"Data a partir da qual, decorrido o prazo de 24 (vinte e quatro) horas do encerramento da votação, até 26 de outubro, as candidatas, os candidatos, os partidos, as federações e as coligações participantes do segundo turno poderão fazer funcionar, entre as 8h (oito horas) e as 22h (vinte e duas horas), alto-falantes ou amplificadores de som, nos termos do art. 15 da Res.- TSE nº 23.610 de 2019 . (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-610-de-18-de-dezembro-de-2019#art15) (Código Eleitoral, art. 240, parágrafo único, Lei nº 9.504/1997, art. 39, § 3º ; Res.-TSE nº 23.610/2019, art. 15) ."
"Data a partir da qual, decorrido o prazo de 24 (vinte e quatro) horas do encerramento da votação, até 24 de outubro, poderão ser realizados comícios e utilizada aparelhagem de sonorização fixa, entre as 8h (oito horas) e as 24h (vinte e quatro horas), com exceção do comício de encerramento da campanha, que poderá ser prorrogado por mais 2 (duas) horas",10/07/2024,"Data a partir da qual, decorrido o prazo de 24 (vinte e quatro) horas do encerramento da votação, até 24 de outubro, poderão ser realizados comícios e utilizada aparelhagem de sonorização fixa, entre as 8h (oito horas) e as 24h (vinte e quatro horas), com exceção do comício de encerramento da campanha, que poderá ser prorrogado por mais 2 (duas) horas (Código Eleitoral, art. 240, parágrafo único; Lei nº 9.504/1997, art. 39, § 4º , para os 1º e 2º dias)."
"Data a partir da qual, decorrido o prazo de 24 (vinte e quatro) horas do encerramento da votação em primeiro turno e até 26 de outubro, poderá haver distribuição de material gráfico, caminhada, carreata ou passeata, acompanhadas ou não por carro de som ou minitrio",10/07/2024,"Data a partir da qual, decorrido o prazo de 24 (vinte e quatro) horas do encerramento da votação em primeiro turno e até 26 de outubro, poderá haver distribuição de material gráfico, caminhada, carreata ou passeata, acompanhadas ou não por carro de som ou minitrio (Código Eleitoral, art. 240, parágrafo único ; Lei nº 9.504/1997, art. 39, § 9º ; Res.-TSE nº 23.610/2019, art. 16) ."
"Data a partir da qual e até 25 de outubro, serão permitidas a divulgação paga, na imprensa escrita, e a reprodução na internet do jornal impresso, de até 10 (dez) anúncios de propaganda eleitoral, por veículo, em datas diversas, para cada candidata ou candidato, no espaço máximo, por edição, de 1/8 (um oitavo) de página de jornal padrão e de 1/4 (um quarto) de página de revista ou tabloide",10/07/2024,"Data a partir da qual e até 25 de outubro, serão permitidas a divulgação paga, na imprensa escrita, e a reprodução na internet do jornal impresso, de até 10 (dez) anúncios de propaganda eleitoral, por veículo, em datas diversas, para cada candidata ou candidato, no espaço máximo, por edição, de 1/8 (um oitavo) de página de jornal padrão e de 1/4 (um quarto) de página de revista ou tabloide (Lei nº 9.504/1997, art. 43, caput ; Res.-TSE nº 23.610/2019, art. 42) ; Res.-TSE nº 23.610/2019, art. 42) ."
"Data a partir da qual, decorrido o prazo de 24 (vinte e quatro) horas do encerramento da votação em primeiro turno e até 24 de outubro, poderá haver circulação paga ou impulsionada de propaganda eleitoral na internet",10/07/2024,"Data a partir da qual, decorrido o prazo de 24 (vinte e quatro) horas do encerramento da votação em primeiro turno e até 24 de outubro, poderá haver circulação paga ou impulsionada de propaganda eleitoral na internet (Res.-TSE nº 23.610/2019, art. 29, § 11) ."
"Último dia para que, observada a divulgação do resultado provisório do primeiro turno, órgãos municipais de direção dos partidos políticos e federações participantes do segundo turno das eleições de Município onde não haja emissora de rádio e de televisão e seja operacionalmente viável realizar a retransmissão possam requerer ao tribunal regional eleitoral a veiculação da propaganda em rede pelas emissoras que os atingem",10/07/2024,"Último dia para que, observada a divulgação do resultado provisório do primeiro turno, órgãos municipais de direção dos partidos políticos e federações participantes do segundo turno das eleições de Município onde não haja emissora de rádio e de televisão e seja operacionalmente viável realizar a retransmissão possam requerer ao tribunal regional eleitoral a veiculação da propaganda em rede pelas emissoras que os atingem (Lei nº 9.504/1997, art. 48) ."
"Último dia para os tribunais regionais eleitorais informarem, em edital e por divulgação nos respectivos sítios eletrônicos na internet, os locais onde serão realizadas as auditorias de funcionamento das urnas relativas ao segundo turno",10/07/2024,"Último dia para os tribunais regionais eleitorais informarem, em edital e por divulgação nos respectivos sítios eletrônicos na internet, os locais onde serão realizadas as auditorias de funcionamento das urnas relativas ao segundo turno (Res.-TSE nº 23.673/2021, art. 54, §1°) ."
"Último dia para a Comissão de Auditoria da Votação Eletrônica expedir ofício aos partidos políticos comunicando-os sobre o horário e o local onde será realizada a escolha ou o sorteio das seções cujas urnas serão auditadas no segundo turno",10/07/2024,"Último dia para a Comissão de Auditoria da Votação Eletrônica expedir ofício aos partidos políticos comunicando-os sobre o horário e o local onde será realizada a escolha ou o sorteio das seções cujas urnas serão auditadas no segundo turno (Res.-TSE nº 23.673/2021, art. 54, §2°) ."
Data a partir da qual as entidades fiscalizadoras poderão solicitar à Justiça Eleitoral,10/07/2024,"Data a partir da qual as entidades fiscalizadoras poderão solicitar à Justiça Eleitoral (Res.-TSE nº 23.673/2021, art. 46, I a VIII) ."
"Data até a qual colecionadoras(es), atiradoras(es) e caçadoras(es) ficam proibidos, em todo o território nacional, de transportar armas e munições",10/07/2024,"Data até a qual colecionadoras(es), atiradoras(es) e caçadoras(es) ficam proibidos, em todo o território nacional, de transportar armas e munições."
"Data até a qual a força armada não poderá aproximar-se do lugar da votação ou nele adentrar sem ordem judicial ou da(o) presidente da Mesa Receptora, exceto nos estabelecimentos penais e nas unidades de internação de adolescentes, respeitado o sigilo do voto, devendo se conservar a 100 m (cem metros) da seção eleitoral",10/07/2024,"Data até a qual a força armada não poderá aproximar-se do lugar da votação ou nele adentrar sem ordem judicial ou da(o) presidente da Mesa Receptora, exceto nos estabelecimentos penais e nas unidades de internação de adolescentes, respeitado o sigilo do voto, devendo se conservar a 100 m (cem metros) da seção eleitoral."
"Data a partir da qual estará suspenso o fornecimento da certidão de quitação eleitoral pela internet, pelo Sistema Elo e pelo e-Título",10/07/2024,"Data a partir da qual estará suspenso o fornecimento da certidão de quitação eleitoral pela internet, pelo Sistema Elo e pelo e-Título."
Último dia da validade de salvo-conduto expedido por juíza ou juiz eleitoral ou a(o) presidente da Mesa Receptora em favor de eleitora ou de eleitor que sofrer violência moral ou física na sua liberdade de votar ou pelo fato de haver votado,10/08/2024,"Último dia da validade de salvo-conduto expedido por juíza ou juiz eleitoral ou a(o) presidente da Mesa Receptora em favor de eleitora ou de eleitor que sofrer violência moral ou física na sua liberdade de votar ou pelo fato de haver votado (Código Eleitoral, art. 235, parágrafo único) ."
Término do período em que nenhuma eleitora ou eleitor poderá ser presa(o) ou detida(o),10/08/2024,"Término do período em que nenhuma eleitora ou eleitor poderá ser presa(o) ou detida(o) (Código Eleitoral, art. 236, caput) ."
Último dia para a mesária ou o mesário que abandonou os trabalhos durante a votação apresentar justificativa ao juízo eleitoral,10/09/2024,"Último dia para a mesária ou o mesário que abandonou os trabalhos durante a votação apresentar justificativa ao juízo eleitoral (Código Eleitoral, art. 124, § 4º) ."
"Data a partir da qual e até 25 de outubro, será veiculada propaganda eleitoral gratuita no rádio e na televisão relativa ao segundo turno",10/11/2024,"Data a partir da qual e até 25 de outubro, será veiculada propaganda eleitoral gratuita no rádio e na televisão relativa ao segundo turno (Lei nº 9.504/1997, art. 49, caput ; e Res.-TSE nº 23.610/2019, art. 60) ; 2019#art60)."
"Último dia para a instituição conveniada ou a empresa de auditoria encaminhar ao Tribunal Superior Eleitoral relatório conclusivo da fiscalização realizada na auditoria de funcionamento das urnas eletrônicas, relativa ao primeiro turno",10/11/2024,"Último dia para a instituição conveniada ou a empresa de auditoria encaminhar ao Tribunal Superior Eleitoral relatório conclusivo da fiscalização realizada na auditoria de funcionamento das urnas eletrônicas, relativa ao primeiro turno (Res.-TSE nº 23.673/2021, art. 66) ; 2021#art66)."
"Data a partir da qual, nos Municípios em que não houver votação em segundo turno, o funcionamento dos cartórios eleitorais, inclusive dos responsáveis pela análise das prestações de contas, observará o disposto em regulamentação de cada tribunal eleitoral respectivo, à qual se dará ampla publicidade",10/12/2024,"Data a partir da qual, nos Municípios em que não houver votação em segundo turno, o funcionamento dos cartórios eleitorais, inclusive dos responsáveis pela análise das prestações de contas, observará o disposto em regulamentação de cada tribunal eleitoral respectivo, à qual se dará ampla publicidade."
"Data a partir da qual os tribunais não mais publicarão em sessão as decisões em representações sobre propaganda eleitoral e direito de resposta oriundos dos Municípios em que não houver votação em segundo turno",10/12/2024,"Data a partir da qual os tribunais não mais publicarão em sessão as decisões em representações sobre propaganda eleitoral e direito de resposta oriundos dos Municípios em que não houver votação em segundo turno."
"Data a partir da qual e até 29 de outubro, nenhuma candidata ou candidato que participará do segundo turno poderá ser detida(o) ou presa(o), salvo em flagrante delito",10/12/2024,"Data a partir da qual e até 29 de outubro, nenhuma candidata ou candidato que participará do segundo turno poderá ser detida(o) ou presa(o), salvo em flagrante delito (Código Eleitoral, art. 236, § 1º) (http://www.planalto.gov.br/ccivil_03/leis/L4737.htm#art236)."
"Data-limite para reinício da emissão de certidão de quitação pela internet, pelo Sistema Elo e pelo e-Título",10/14/2024,"Data-limite para reinício da emissão de certidão de quitação pela internet, pelo Sistema Elo e pelo e-Título"
"Último dia para a Secretaria da Receita Federal do Brasil e as secretarias estaduais e municipais de Fazenda encaminharem ao Tribunal Superior Eleitoral, pela internet, arquivo eletrônico com as notas fiscais eletrônicas relativas ao fornecimento de bens e serviços para campanha eleitoral emitidas desde o prazo final para o registro de candidatura até o dia da eleição",10/15/2024,"Último dia para a Secretaria da Receita Federal do Brasil e as secretarias estaduais e municipais de Fazenda encaminharem ao Tribunal Superior Eleitoral, pela internet, arquivo eletrônico com as notas fiscais eletrônicas relativas ao fornecimento de bens e serviços para campanha eleitoral emitidas desde o prazo final para o registro de candidatura até o dia da eleição (Res.-TSE nº 23.607/2019, art. 92) (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-607-de-17-de-dezembro-de-2019#art92)."
"Último dia para os Chefes dos Poderes Executivos Federal, Estadual, Distrital e Municipal encaminharem ao Tribunal Superior Eleitoral, pela internet, arquivo eletrônico com identificação dos permissionários de serviço público",10/15/2024,"Último dia para os Chefes dos Poderes Executivos Federal, Estadual, Distrital e Municipal encaminharem ao Tribunal Superior Eleitoral, pela internet, arquivo eletrônico com identificação dos permissionários de serviço público (Res.-TSE nº 23.607/2019, art. 92-A, l). (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-607-de-17-de-dezembro-de-2019#art92a)"
"Data-limite para a definição, pela Comissão de Auditoria da Votação Eletrônica, dos locais onde serão realizados os Testes de Integridade com Biometria, para o segundo turno",10/17/2024,"Data-limite para a definição, pela Comissão de Auditoria da Votação Eletrônica, dos locais onde serão realizados os Testes de Integridade com Biometria, para o segundo turno (Res.-TSE nº 23.673/2021, art. 53-C, I, c) (https://www.tse.jus.br/legislacao/compliada/res/2021/resolucao-no-23-673-14-de-dezembro-de-2021#art53c)."
Data até a qual os dados de resultados relativos ao primeiro turno estarão disponíveis em centro de dados provido pelo Tribunal Superior Eleitoral,10/19/2024,"Data até a qual os dados de resultados relativos ao primeiro turno estarão disponíveis em centro de dados provido pelo Tribunal Superior Eleitoral."
"Último dia para o registro, no Sistema de Registro de Pesquisas Eleitorais (PesqEle), das pesquisas de opinião pública realizadas em data anterior ao dia do segundo turno, para conhecimento público, relativas ao pleito ou às respectivas candidatas e candidatos, que se pretenda divulgar no dia das eleições",10/21/2024,"Último dia para o registro, no Sistema de Registro de Pesquisas Eleitorais (PesqEle), das pesquisas de opinião pública realizadas em data anterior ao dia do segundo turno, para conhecimento público, relativas ao pleito ou às respectivas candidatas e candidatos, que se pretenda divulgar no dia das eleições (Res.-TSE nº 23.600/2019, art. 11) (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-600-de-12-de-dezembro-de-2019#art11)."
